deal_id,created_date,closed_date,sales_rep_id,industry,region,product_type,lead_source,deal_stage,deal_amount,sales_cycle_days,outcome
D00001,2023-11-24,2023-12-15,rep_22,SaaS,North America,Enterprise,Referral,Qualified,4253,21,Won
D00002,2023-01-17,2023-01-27,rep_7,SaaS,India,Core,Referral,Closed,3905,10,Won
D00003,2023-10-29,2023-12-10,rep_5,HealthTech,APAC,Core,Inbound,Proposal,10615,42,Lost
D00004,2023-07-14,2023-08-02,rep_18,FinTech,India,Core,Partner,Negotiation,4817,19,Won
D00005,2024-02-29,2024-05-26,rep_2,HealthTech,APAC,Core,Outbound,Qualified,45203,87,Lost
D00006,2024-03-19,2024-04-07,rep_12,HealthTech,APAC,Enterprise,Inbound,Proposal,5714,19,Won
D00007,2023-11-08,2024-02-04,rep_9,SaaS,Europe,Enterprise,Partner,Negotiation,12010,88,Won
D00008,2024-03-07,2024-06-20,rep_3,HealthTech,APAC,Core,Referral,Proposal,8525,105,Lost
D00009,2023-07-22,2023-11-19,rep_24,SaaS,APAC,Enterprise,Referral,Demo,5758,120,Lost
D00010,2023-10-26,2023-12-23,rep_4,HealthTech,Europe,Enterprise,Referral,Qualified,3133,58,Won
D00011,2023-11-02,2023-11-17,rep_1,FinTech,APAC,Enterprise,Partner,Closed,15668,15,Won
D00012,2023-02-27,2023-04-12,rep_17,FinTech,APAC,Enterprise,Outbound,Demo,54522,44,Won
D00013,2023-03-20,2023-05-13,rep_16,FinTech,North America,Pro,Partner,Proposal,20074,54,Lost
D00014,2023-05-03,2023-05-17,rep_3,SaaS,Europe,Core,Referral,Negotiation,31226,14,Won
D00015,2023-10-09,2023-11-06,rep_23,EdTech,India,Enterprise,Partner,Demo,47760,28,Won
D00016,2023-08-13,2023-10-25,rep_19,SaaS,Europe,Enterprise,Outbound,Qualified,11681,73,Lost
D00017,2023-01-04,2023-01-20,rep_3,SaaS,Europe,Pro,Referral,Proposal,2482,16,Lost
D00018,2023-04-20,2023-07-05,rep_14,HealthTech,North America,Core,Referral,Negotiation,6677,76,Won
D00019,2023-07-01,2023-08-31,rep_24,EdTech,North America,Core,Outbound,Negotiation,7972,61,Won
D00020,2023-04-08,2023-06-22,rep_3,Ecommerce,North America,Core,Inbound,Demo,11006,75,Won
D00021,2023-02-17,2023-05-31,rep_13,FinTech,Europe,Pro,Inbound,Demo,14658,103,Lost
D00022,2023-07-19,2023-08-28,rep_22,Ecommerce,Europe,Core,Partner,Closed,75444,40,Lost
D00023,2023-04-22,2023-05-06,rep_19,Ecommerce,Europe,Core,Inbound,Qualified,6441,14,Lost
D00024,2024-03-11,2024-04-10,rep_19,HealthTech,North America,Enterprise,Inbound,Qualified,19062,30,Won
D00025,2023-08-03,2023-11-02,rep_8,EdTech,India,Core,Partner,Proposal,6282,91,Lost
D00026,2023-08-23,2023-10-09,rep_4,FinTech,Europe,Enterprise,Partner,Closed,80068,47,Lost
D00027,2023-03-09,2023-04-29,rep_18,EdTech,North America,Enterprise,Partner,Negotiation,4001,51,Lost
D00028,2023-12-06,2023-12-26,rep_5,EdTech,APAC,Enterprise,Outbound,Closed,3100,20,Lost
D00029,2024-01-03,2024-02-22,rep_2,FinTech,India,Pro,Inbound,Proposal,12325,50,Won
D00030,2023-01-02,2023-02-20,rep_18,Ecommerce,North America,Core,Inbound,Negotiation,41178,49,Lost
D00031,2023-12-20,2024-01-15,rep_5,FinTech,APAC,Pro,Inbound,Negotiation,5024,26,Lost
D00032,2023-07-03,2023-08-05,rep_20,HealthTech,Europe,Core,Outbound,Negotiation,66357,33,Lost
D00033,2023-07-31,2023-08-10,rep_23,FinTech,India,Core,Referral,Demo,14745,10,Won
D00034,2023-04-24,2023-05-26,rep_1,HealthTech,India,Pro,Partner,Demo,5770,32,Lost
D00035,2024-03-18,2024-04-02,rep_11,FinTech,North America,Pro,Outbound,Closed,13753,15,Lost
D00036,2023-10-25,2023-12-04,rep_14,SaaS,North America,Pro,Outbound,Proposal,65309,40,Won
D00037,2023-05-11,2023-05-23,rep_12,Ecommerce,North America,Enterprise,Partner,Demo,90575,12,Lost
D00038,2023-11-16,2024-01-02,rep_22,Ecommerce,APAC,Pro,Partner,Proposal,59363,47,Lost
D00039,2023-10-11,2023-11-03,rep_10,Ecommerce,North America,Pro,Partner,Closed,42810,23,Won
D00040,2023-04-18,2023-06-19,rep_15,HealthTech,India,Enterprise,Outbound,Negotiation,18726,62,Lost
D00041,2023-12-04,2023-12-21,rep_22,EdTech,Europe,Core,Outbound,Demo,7438,17,Won
D00042,2023-01-13,2023-01-25,rep_21,SaaS,Europe,Enterprise,Referral,Negotiation,18015,12,Won
D00043,2023-09-11,2023-11-08,rep_8,HealthTech,India,Core,Outbound,Negotiation,7374,58,Won
D00044,2024-03-10,2024-04-01,rep_11,Ecommerce,India,Enterprise,Referral,Closed,89616,22,Lost
D00045,2023-03-23,2023-07-03,rep_25,SaaS,India,Enterprise,Outbound,Proposal,52406,102,Lost
D00046,2023-05-21,2023-07-23,rep_18,FinTech,Europe,Core,Outbound,Proposal,11841,63,Won
D00047,2023-07-16,2023-10-19,rep_18,Ecommerce,India,Core,Outbound,Proposal,9052,95,Won
D00048,2024-03-02,2024-05-01,rep_16,FinTech,APAC,Pro,Referral,Negotiation,22560,60,Won
D00049,2024-03-12,2024-07-03,rep_9,Ecommerce,India,Core,Referral,Demo,17883,113,Won
D00050,2023-06-22,2023-09-22,rep_20,SaaS,North America,Pro,Inbound,Demo,19864,92,Lost
D00051,2023-02-12,2023-05-12,rep_11,HealthTech,India,Pro,Partner,Negotiation,10977,89,Won
D00052,2024-01-25,2024-05-23,rep_24,SaaS,North America,Pro,Outbound,Qualified,12133,119,Won
D00053,2023-11-29,2023-12-14,rep_1,SaaS,Europe,Core,Outbound,Demo,7339,15,Lost
D00054,2023-08-31,2023-12-01,rep_20,SaaS,North America,Core,Partner,Demo,15619,92,Won
D00055,2023-02-25,2023-05-17,rep_3,SaaS,Europe,Core,Partner,Demo,17433,81,Won
D00056,2024-03-11,2024-06-13,rep_14,EdTech,North America,Enterprise,Partner,Closed,17272,94,Lost
D00057,2023-01-07,2023-05-02,rep_23,HealthTech,India,Core,Partner,Negotiation,9729,115,Won
D00058,2023-11-12,2024-03-01,rep_9,EdTech,Europe,Core,Partner,Closed,77091,110,Lost
D00059,2023-08-19,2023-09-26,rep_16,EdTech,Europe,Pro,Outbound,Qualified,17999,38,Lost
D00060,2023-07-01,2023-10-18,rep_17,HealthTech,North America,Core,Referral,Qualified,56211,109,Won
D00061,2023-09-08,2023-11-25,rep_3,EdTech,Europe,Pro,Outbound,Qualified,15800,78,Lost
D00062,2023-06-06,2023-09-05,rep_24,SaaS,APAC,Pro,Referral,Negotiation,17068,91,Lost
D00063,2023-05-19,2023-07-04,rep_24,SaaS,Europe,Core,Outbound,Qualified,19817,46,Won
D00064,2024-01-14,2024-03-22,rep_7,EdTech,Europe,Pro,Outbound,Qualified,16595,68,Won
D00065,2023-06-04,2023-06-12,rep_10,HealthTech,India,Core,Inbound,Closed,3036,8,Lost
D00066,2023-10-21,2023-12-03,rep_16,FinTech,North America,Pro,Referral,Proposal,5608,43,Lost
D00067,2023-02-07,2023-04-28,rep_3,HealthTech,North America,Enterprise,Referral,Proposal,39555,80,Lost
D00068,2023-11-07,2024-01-29,rep_10,SaaS,India,Pro,Inbound,Negotiation,16561,83,Lost
D00069,2023-11-09,2024-02-18,rep_6,HealthTech,Europe,Enterprise,Inbound,Qualified,18248,101,Won
D00070,2023-03-22,2023-03-29,rep_8,EdTech,APAC,Enterprise,Referral,Qualified,17729,7,Won
D00071,2023-02-06,2023-05-11,rep_14,FinTech,Europe,Enterprise,Outbound,Demo,97304,94,Won
D00072,2023-05-17,2023-09-06,rep_10,Ecommerce,North America,Pro,Partner,Closed,60319,112,Won
D00073,2023-12-25,2024-02-21,rep_20,FinTech,India,Enterprise,Partner,Qualified,16847,58,Lost
D00074,2023-11-06,2023-12-15,rep_25,EdTech,North America,Core,Referral,Qualified,95392,39,Won
D00075,2023-09-23,2023-12-22,rep_3,Ecommerce,APAC,Pro,Partner,Negotiation,10973,90,Won
D00076,2023-06-14,2023-09-14,rep_10,Ecommerce,North America,Pro,Inbound,Negotiation,73955,92,Won
D00077,2023-06-11,2023-07-20,rep_15,Ecommerce,North America,Core,Partner,Closed,20150,39,Won
D00078,2023-11-15,2024-02-26,rep_5,EdTech,India,Enterprise,Referral,Closed,8845,103,Lost
D00079,2023-03-04,2023-03-14,rep_1,SaaS,India,Core,Outbound,Closed,11920,10,Lost
D00080,2024-03-06,2024-03-27,rep_17,EdTech,India,Pro,Referral,Proposal,18612,21,Lost
D00081,2023-05-05,2023-07-09,rep_3,EdTech,India,Pro,Partner,Demo,98561,65,Lost
D00082,2024-02-25,2024-03-03,rep_5,Ecommerce,India,Pro,Partner,Negotiation,96011,7,Won
D00083,2023-10-10,2024-01-22,rep_19,Ecommerce,Europe,Pro,Inbound,Demo,44727,104,Lost
D00084,2023-06-12,2023-09-22,rep_5,SaaS,APAC,Core,Referral,Qualified,14325,102,Lost
D00085,2023-02-21,2023-05-06,rep_3,Ecommerce,APAC,Pro,Referral,Demo,19836,74,Lost
D00086,2023-11-29,2023-12-16,rep_18,FinTech,North America,Core,Partner,Negotiation,16742,17,Lost
D00087,2023-04-27,2023-08-07,rep_23,EdTech,North America,Core,Partner,Demo,18383,102,Won
D00088,2024-02-12,2024-02-26,rep_14,SaaS,Europe,Core,Outbound,Closed,5070,14,Won
D00089,2023-02-10,2023-05-06,rep_5,HealthTech,India,Enterprise,Partner,Closed,19192,85,Lost
D00090,2023-08-24,2023-10-02,rep_15,EdTech,APAC,Enterprise,Referral,Qualified,5811,39,Lost
D00091,2023-12-20,2024-01-28,rep_8,Ecommerce,APAC,Enterprise,Partner,Qualified,11263,39,Lost
D00092,2023-12-25,2024-02-07,rep_22,FinTech,India,Pro,Outbound,Closed,7392,44,Won
D00093,2023-11-07,2024-02-24,rep_21,FinTech,North America,Pro,Referral,Demo,52850,109,Won
D00094,2023-01-18,2023-04-09,rep_6,HealthTech,Europe,Enterprise,Partner,Negotiation,9476,81,Won
D00095,2023-09-29,2023-12-09,rep_4,Ecommerce,North America,Core,Outbound,Proposal,12210,71,Lost
D00096,2024-03-16,2024-06-17,rep_1,EdTech,North America,Pro,Partner,Negotiation,5255,93,Lost
D00097,2023-12-11,2024-03-22,rep_16,FinTech,APAC,Enterprise,Outbound,Demo,6788,102,Lost
D00098,2023-11-28,2023-12-13,rep_4,HealthTech,North America,Core,Partner,Negotiation,59608,15,Lost
D00099,2023-09-10,2023-10-01,rep_22,SaaS,India,Enterprise,Outbound,Proposal,10222,21,Won
D00100,2023-08-01,2023-10-30,rep_23,EdTech,Europe,Pro,Referral,Qualified,18086,90,Won
D00101,2023-05-01,2023-08-25,rep_2,Ecommerce,APAC,Core,Inbound,Proposal,91364,116,Won
D00102,2024-03-10,2024-06-30,rep_11,HealthTech,Europe,Enterprise,Outbound,Qualified,7429,112,Lost
D00103,2023-02-05,2023-05-29,rep_25,HealthTech,North America,Pro,Outbound,Proposal,3697,113,Lost
D00104,2023-03-08,2023-05-23,rep_12,HealthTech,APAC,Core,Outbound,Qualified,3429,76,Won
D00105,2023-05-16,2023-05-29,rep_16,Ecommerce,APAC,Enterprise,Inbound,Qualified,34896,13,Won
D00106,2023-08-20,2023-10-30,rep_21,FinTech,North America,Pro,Referral,Negotiation,8710,71,Won
D00107,2023-08-07,2023-11-09,rep_20,HealthTech,North America,Core,Partner,Proposal,7835,94,Won
D00108,2023-11-16,2024-02-12,rep_10,Ecommerce,India,Core,Inbound,Closed,69925,88,Lost
D00109,2024-03-12,2024-06-10,rep_8,Ecommerce,APAC,Pro,Referral,Negotiation,19810,90,Lost
D00110,2023-08-01,2023-11-09,rep_22,Ecommerce,North America,Core,Inbound,Demo,13120,100,Won
D00111,2023-02-17,2023-04-20,rep_18,SaaS,APAC,Enterprise,Inbound,Closed,5052,62,Won
D00112,2023-07-30,2023-09-20,rep_10,EdTech,North America,Enterprise,Outbound,Closed,19813,52,Lost
D00113,2023-03-21,2023-06-20,rep_25,EdTech,Europe,Pro,Inbound,Qualified,13736,91,Lost
D00114,2023-11-08,2024-02-07,rep_11,EdTech,North America,Core,Outbound,Proposal,8474,91,Lost
D00115,2023-10-17,2024-01-16,rep_7,Ecommerce,India,Pro,Partner,Closed,3162,91,Won
D00116,2023-03-22,2023-05-15,rep_5,HealthTech,North America,Enterprise,Inbound,Qualified,4657,54,Won
D00117,2023-05-20,2023-07-22,rep_7,SaaS,North America,Pro,Referral,Proposal,17946,63,Lost
D00118,2023-02-26,2023-04-10,rep_2,HealthTech,India,Enterprise,Inbound,Proposal,89066,43,Lost
D00119,2023-01-04,2023-02-06,rep_4,FinTech,India,Enterprise,Referral,Proposal,10248,33,Won
D00120,2023-03-31,2023-04-23,rep_3,Ecommerce,North America,Pro,Inbound,Proposal,85570,23,Won
D00121,2023-08-24,2023-09-09,rep_10,FinTech,India,Core,Partner,Negotiation,15033,16,Lost
D00122,2023-03-29,2023-07-16,rep_4,HealthTech,India,Enterprise,Referral,Negotiation,5769,109,Lost
D00123,2023-09-26,2023-10-13,rep_3,SaaS,North America,Enterprise,Outbound,Demo,13562,17,Won
D00124,2024-02-02,2024-03-24,rep_9,HealthTech,Europe,Enterprise,Outbound,Demo,7287,51,Won
D00125,2024-01-25,2024-05-08,rep_25,SaaS,India,Enterprise,Partner,Closed,18288,104,Lost
D00126,2024-03-18,2024-06-13,rep_9,SaaS,North America,Pro,Inbound,Proposal,9118,87,Won
D00127,2023-06-08,2023-08-13,rep_20,SaaS,India,Pro,Inbound,Qualified,2466,66,Lost
D00128,2023-08-19,2023-12-07,rep_5,FinTech,India,Core,Partner,Closed,13267,110,Lost
D00129,2024-01-01,2024-01-18,rep_15,SaaS,Europe,Pro,Partner,Negotiation,52472,17,Lost
D00130,2023-05-25,2023-07-20,rep_3,EdTech,North America,Enterprise,Referral,Proposal,4771,56,Won
D00131,2023-05-26,2023-07-04,rep_19,HealthTech,APAC,Pro,Referral,Qualified,17874,39,Lost
D00132,2023-03-08,2023-05-30,rep_5,SaaS,North America,Enterprise,Referral,Proposal,13072,83,Lost
D00133,2023-09-18,2023-11-10,rep_7,HealthTech,Europe,Core,Inbound,Negotiation,10953,53,Won
D00134,2023-06-01,2023-09-24,rep_25,SaaS,Europe,Enterprise,Referral,Proposal,6158,115,Lost
D00135,2023-03-20,2023-04-16,rep_2,Ecommerce,APAC,Enterprise,Outbound,Negotiation,41697,27,Won
