deal_id,created_date,closed_date,sales_rep_id,industry,region,product_type,lead_source,deal_stage,deal_amount,sales_cycle_days,outcome,won,created_quarter,closed_quarter,closed_month,segment_key,hist_wr_component,deal_size_bucket,expected_cycle,velocity_score,rep_component,source_component,pipeline_quality_score,segment_key_velocity,expected_cycle_days,deal_velocity_index,rep_efficiency_ratio,lead_source_roi,segment_attractiveness_index,pipeline_decay_rate,industry_complexity,product_complexity,region_complexity,deal_complexity_score
D00001,2023-11-24,2023-12-15,rep_22,SaaS,North America,Enterprise,Referral,Qualified,4253,21,Won,1,2023Q4,2023Q4,2023-12,SaaS_Enterprise_North America,16.0,"(0, 10000]",64.0,30.0,8.018867924528303,4.552715654952077,58.6,SaaS_Enterprise,69.0,3.29,0.424,186.0,2840.0,54.8,30.0,20,8.401846675330317,59.3
D00002,2023-01-17,2023-01-27,rep_7,SaaS,India,Core,Referral,Closed,3905,10,Won,1,2023Q1,2023Q1,2023-01,SaaS_Core_India,17.5,"(0, 10000]",64.0,30.0,8.333333333333334,4.552715654952077,60.4,SaaS_Core,60.0,6.0,0.349,186.0,3293.0,79.1,30.0,10,10.0,50.8
D00003,2023-10-29,2023-12-10,rep_5,HealthTech,APAC,Core,Inbound,Proposal,10615,42,Lost,0,2023Q4,2023Q4,2023-12,HealthTech_Core_APAC,15.421686746987952,"(10000, 30000]",64.0,30.0,9.154228855721394,4.603803486529319,59.2,HealthTech_Core,65.0,1.55,0.447,195.0,3001.0,54.8,10.118359441968632,10,0.0,23.6
D00004,2023-07-14,2023-08-02,rep_18,FinTech,India,Core,Partner,Negotiation,4817,19,Won,1,2023Q3,2023Q3,2023-08,FinTech_Core_India,19.746835443037977,"(0, 10000]",64.0,30.0,8.172043010752688,4.395161290322581,62.3,FinTech_Core,66.0,3.47,0.43,183.0,2652.0,55.1,17.086215382317068,10,10.0,38.2
D00005,2024-02-29,2024-05-26,rep_2,HealthTech,APAC,Core,Outbound,Qualified,45203,87,Lost,0,2024Q1,2024Q2,2024-05,HealthTech_Core_APAC,15.421686746987952,"(30000, 60000]",64.0,22.06896551724138,9.230769230769232,4.550561797752809,51.3,HealthTech_Core,65.0,0.75,0.498,182.0,3001.0,54.6,10.118359441968632,10,0.0,37.8
D00006,2024-03-19,2024-04-07,rep_12,HealthTech,APAC,Enterprise,Inbound,Proposal,5714,19,Won,1,2024Q1,2024Q2,2024-04,HealthTech_Enterprise_APAC,17.073170731707318,"(0, 10000]",64.0,30.0,9.666666666666666,4.603803486529319,61.3,HealthTech_Enterprise,63.0,3.32,0.431,195.0,3001.0,58.2,10.118359441968632,20,0.0,31.6
D00007,2023-11-08,2024-02-04,rep_9,SaaS,Europe,Enterprise,Partner,Negotiation,12010,88,Won,1,2023Q4,2024Q1,2024-02,SaaS_Enterprise_Europe,17.534246575342465,"(10000, 30000]",64.0,21.81818181818182,8.924731182795698,4.395161290322581,52.7,SaaS_Enterprise,69.0,0.78,0.497,183.0,2512.0,52.8,30.0,20,4.694411627571434,58.8
D00008,2024-03-07,2024-06-20,rep_3,HealthTech,APAC,Core,Referral,Proposal,8525,105,Lost,0,2024Q1,2024Q2,2024-06,HealthTech_Core_APAC,15.421686746987952,"(0, 10000]",64.0,18.28571428571429,9.444444444444445,4.552715654952077,47.7,HealthTech_Core,65.0,0.62,0.496,186.0,3001.0,51.9,10.118359441968632,10,0.0,22.8
D00009,2023-07-22,2023-11-19,rep_24,SaaS,APAC,Enterprise,Referral,Demo,5758,120,Lost,0,2023Q3,2023Q4,2023-11,SaaS_Enterprise_APAC,19.753086419753085,"(0, 10000]",64.0,16.0,8.96551724137931,4.552715654952077,49.3,SaaS_Enterprise,69.0,0.57,0.419,186.0,3092.0,53.9,30.0,20,0.0,51.5
D00010,2023-10-26,2023-12-23,rep_4,HealthTech,Europe,Enterprise,Referral,Qualified,3133,58,Won,1,2023Q4,2023Q4,2023-12,HealthTech_Enterprise_Europe,20.48780487804878,"(0, 10000]",64.0,30.0,9.16256157635468,4.552715654952077,64.2,HealthTech_Enterprise,63.0,1.09,0.471,186.0,2708.0,54.8,10.118359441968632,20,4.694411627571434,35.3
D00011,2023-11-02,2023-11-17,rep_1,FinTech,APAC,Enterprise,Partner,Closed,15668,15,Won,1,2023Q4,2023Q4,2023-11,FinTech_Enterprise_APAC,18.876404494382022,"(10000, 30000]",64.0,30.0,9.09952606635071,4.395161290322581,62.4,FinTech_Enterprise,64.0,4.27,0.466,183.0,3115.0,53.9,17.086215382317068,20,0.0,42.7
D00012,2023-02-27,2023-04-12,rep_17,FinTech,APAC,Enterprise,Outbound,Demo,54522,44,Won,1,2023Q1,2023Q2,2023-04,FinTech_Enterprise_APAC,18.876404494382022,"(30000, 60000]",64.0,30.0,8.914285714285715,4.550561797752809,62.3,FinTech_Enterprise,64.0,1.45,0.447,182.0,3115.0,59.6,17.086215382317068,20,0.0,58.5
D00013,2023-03-20,2023-05-13,rep_16,FinTech,North America,Pro,Partner,Proposal,20074,54,Lost,0,2023Q1,2023Q2,2023-05,FinTech_Pro_North America,20.253164556962027,"(10000, 30000]",64.0,30.0,9.417040358744394,4.395161290322581,64.1,FinTech_Pro,66.0,1.22,0.5,183.0,3073.0,52.4,17.086215382317068,15,8.401846675330317,47.9
